index,path,x_min,x_max,y_min,y_max,label,newfilename
0,/workspace/data/Artificialdata/crop_img/Isotropic/225_10/000.png,,,,,Non,00000.png
1,/workspace/data/Artificialdata/crop_img/Isotropic/225_10/001.png,,,,,Non,00001.png
2,/workspace/data/Artificialdata/crop_img/Isotropic/225_10/002.png,,,,,Non,00002.png
3,/workspace/data/Artificialdata/crop_img/Isotropic/225_10/003.png,,,,,Non,00003.png
4,/workspace/data/Artificialdata/crop_img/Isotropic/225_10/004.png,,,,,Non,00004.png
5,/workspace/data/Artificialdata/crop_img/Isotropic/225_10/005.png,,,,,Non,00005.png
6,/workspace/data/Artificialdata/crop_img/Isotropic/225_10/006.png,,,,,Non,00006.png
7,/workspace/data/Artificialdata/crop_img/Isotropic/225_10/007.png,,,,,Non,00007.png
8,/workspace/data/Artificialdata/crop_img/Isotropic/225_10/008.png,,,,,Non,00008.png
9,/workspace/data/Artificialdata/crop_img/Isotropic/225_10/009.png,,,,,Non,00009.png
10,/workspace/data/Artificialdata/crop_img/Isotropic/225_10/010.png,,,,,Non,00010.png
11,/workspace/data/Artificialdata/crop_img/Isotropic/225_10/011.png,,,,,Non,00011.png
12,/workspace/data/Artificialdata/crop_img/Isotropic/225_10/012.png,,,,,Non,00012.png
13,/workspace/data/Artificialdata/crop_img/Isotropic/225_10/013.png,,,,,Non,00013.png
14,/workspace/data/Artificialdata/crop_img/Isotropic/225_10/014.png,,,,,Non,00014.png
15,/workspace/data/Artificialdata/crop_img/Isotropic/225_10/015.png,,,,,Non,00015.png
16,/workspace/data/Artificialdata/crop_img/Isotropic/225_10/016.png,,,,,Non,00016.png
17,/workspace/data/Artificialdata/crop_img/Isotropic/225_10/017.png,,,,,Non,00017.png
18,/workspace/data/Artificialdata/crop_img/Isotropic/225_10/018.png,,,,,Non,00018.png
19,/workspace/data/Artificialdata/crop_img/Isotropic/225_10/019.png,,,,,Non,00019.png
20,/workspace/data/Artificialdata/crop_img/Isotropic/225_10/020.png,,,,,Non,00020.png
21,/workspace/data/Artificialdata/crop_img/Isotropic/225_10/021.png,,,,,Non,00021.png
22,/workspace/data/Artificialdata/crop_img/Isotropic/225_10/022.png,,,,,Non,00022.png
23,/workspace/data/Artificialdata/crop_img/Isotropic/225_10/023.png,,,,,Non,00023.png
24,/workspace/data/Artificialdata/crop_img/Isotropic/225_10/024.png,,,,,Non,00024.png
25,/workspace/data/Artificialdata/crop_img/Isotropic/225_10/025.png,,,,,Non,00025.png
26,/workspace/data/Artificialdata/crop_img/Isotropic/225_10/026.png,,,,,Non,00026.png
27,/workspace/data/Artificialdata/crop_img/Isotropic/225_10/027.png,,,,,Non,00027.png
